"","old_genotype","leaf","mean_predicted_N","plant"
"94","Zdip-JLVTKV-719_P2_P3_P2.3.1.1","e1",2.710242161552,"C, BD"
"95","Zdip-JLVTKV-719_P2_P3_P2.3.1.1","e2",2.87779770568555,"C, BD"
"96","Zdip-JLVTKV-719_P2_P3_P2.3.1.1","e3",3.33727670533217,"C, BD"
"97","Zdip-JLVTKV-719_P2_P3_P3.4.1.1","e1",2.83321673750601,"C, BD"
"98","Zdip-JLVTKV-719_P2_P3_P3.4.1.1","e2",2.72196225242959,"C, BD"
"99","Zdip-JLVTKV-719_P2_P3_P3.4.1.1","e3",3.31479187301711,"C, BD"
"100","Zdip-JLVTKV-719_P2_P4_P1.2.1.1","e1",2.89481707334724,"C, BD"
"101","Zdip-JLVTKV-719_P2_P4_P1.2.1.1","e2",3.40882768397141,"C, BD"
"102","Zdip-JLVTKV-719_P2_P4_P1.2.1.1","e3",3.2763768616679,"C, BD"
"103","Zdip-JLVTKV-719_P2_P4_P2.1.1.1","e1",3.19890521130468,"C, BD"
"104","Zdip-JLVTKV-719_P2_P4_P2.1.1.1","e2",3.72690534456866,"C, BD"
"105","Zdip-JLVTKV-719_P2_P4_P2.1.1.1","e3",3.91721590566866,"C, BD"
"106","Zdip-JLVTKV-719_P2_P4_P3.2.1.1","e1",3.10351832954503,"C, BD"
"107","Zdip-JLVTKV-719_P2_P4_P3.2.1.1","e2",3.14942794203603,"C, BD"
"108","Zdip-JLVTKV-719_P2_P4_P3.2.1.1","e3",3.37084066715278,"C, BD"
"109","Zdip-JLVTKV-719_P2_P4_P4.3.1.1","e1",3.66250244721615,"C, BD"
"110","Zdip-JLVTKV-719_P2_P4_P4.3.1.1","e2",3.92667359670932,"C, BD"
"111","Zdip-JLVTKV-719_P2_P4_P4.3.1.1","e3",3.87289156422078,"C, BD"
"112","Zdip-JLVTKV-719_P2_P5_P3.1.1.1","e1",2.37730335674257,"C, BD"
"113","Zdip-JLVTKV-719_P2_P5_P3.1.1.1","e2",2.64201746900081,"C, BD"
"114","Zdip-JLVTKV-719_P2_P5_P3.1.1.1","e3",3.53580266971635,"C, BD"
"115","Zdip-JLVTKV-719_P2_P5_P5.1.1.1","e1",2.78136974384921,"C, BD"
"116","Zdip-JLVTKV-719_P2_P5_P5.1.1.1","e2",2.98995153573593,"C, BD"
"117","Zdip-JLVTKV-719_P2_P5_P5.1.1.1","e3",2.11657844057753,"C, BD"
"118","Zdip-JLVTKV-720_P1_P1_P2.1.1.1","e1",1.83061682668188,"C, BD"
"119","Zdip-JLVTKV-720_P1_P1_P2.1.1.1","e2",2.25463700964214,"C, BD"
"120","Zdip-JLVTKV-720_P1_P1_P2.1.1.1","e3",2.05008308478056,"C, BD"
"121","Zdip-JLVTKV-720_P1_P3_P1.1.1.1","e1",2.68466303513637,"C, BD"
"122","Zdip-JLVTKV-720_P1_P3_P1.1.1.1","e2",2.72896953684204,"C, BD"
"123","Zdip-JLVTKV-720_P1_P3_P1.1.1.1","e3",3.40497552878303,"C, BD"
"124","Zdip-JLVTKV-720_P1_P3_P2.1.1.1","e1",3.44375414160122,"C, BD"
"125","Zdip-JLVTKV-720_P1_P3_P2.1.1.1","e2",3.58840080176942,"C, BD"
"126","Zdip-JLVTKV-720_P1_P3_P2.1.1.1","e3",3.49189890223326,"C, BD"
"127","Zdip-JLVTKV-720_P1_P4_P1.2.1.1","e1",3.12673391598714,"C, BD"
"128","Zdip-JLVTKV-720_P1_P4_P1.2.1.1","e2",3.31164682662162,"C, BD"
"129","Zdip-JLVTKV-720_P1_P4_P1.2.1.1","e3",3.78096064029363,"C, BD"
"130","Zdip-JLVTKV-720_P1_P4_P2.2.1.1","e1",3.71929492690338,"C, BD"
"131","Zdip-JLVTKV-720_P1_P4_P2.2.1.1","e2",3.87876484312058,"C, BD"
"132","Zdip-JLVTKV-720_P1_P4_P2.2.1.1","e3",3.79084631299944,"C, BD"
"133","Zdip-JLVTKV-720_P1_P4_P3.1.1.1","e1",3.25526454339502,"C, BD"
"134","Zdip-JLVTKV-720_P1_P4_P3.1.1.1","e2",3.245133708745,"C, BD"
"135","Zdip-JLVTKV-720_P1_P4_P3.1.1.1","e3",3.00948790177817,"C, BD"
"136","Zdip-JLVTKV-720_P1_P4_P4.1.1.1","e1",3.45587905158715,"C, BD"
"137","Zdip-JLVTKV-720_P1_P4_P4.1.1.1","e2",4.03831565965844,"C, BD"
"138","Zdip-JLVTKV-720_P1_P4_P4.1.1.1","e3",3.6921494464564,"C, BD"
"139","Zdip-JLVTKV-720_P1_P5_P1.2.1.1","e1",3.13752591329051,"C, BD"
"140","Zdip-JLVTKV-720_P1_P5_P1.2.1.1","e2",3.63678713128094,"C, BD"
"141","Zdip-JLVTKV-720_P1_P5_P1.2.1.1","e3",3.6428718782862,"C, BD"
"142","Zdip-JLVTKV-720_P1_P5_P2.1.1.1","e1",3.8342859060705,"C, BD"
"143","Zdip-JLVTKV-720_P1_P5_P2.1.1.1","e2",3.73881738298792,"C, BD"
"144","Zdip-JLVTKV-720_P1_P5_P2.1.1.1","e3",3.8465643886298,"C, BD"
"145","Zdip-JLVTKV-720_P1_P5_P3.1.1.1","e1",4.1056732904763,"C, BD"
"146","Zdip-JLVTKV-720_P1_P5_P3.1.1.1","e2",3.94956081556367,"C, BD"
"147","Zdip-JLVTKV-720_P1_P5_P3.1.1.1","e3",3.77835549046951,"C, BD"
"148","Zdip-JLVTKV-720_P1_P5_P4.2.1.1","e1",3.22498337218074,"C, BD"
"149","Zdip-JLVTKV-720_P1_P5_P4.2.1.1","e2",3.50955460908786,"C, BD"
"150","Zdip-JLVTKV-720_P1_P5_P4.2.1.1","e3",2.83867866959908,"C, BD"
