"old_genotype","leaf","mean_predicted_N","plant","condition"
"Zdip-JSG-RMM-LCL-551_P3_P1_P3.1.1.1","e1",2.98070401910458,"C, BD","e3_lowest_med_VT"
"Zdip-JSG-RMM-LCL-551_P3_P1_P3.1.1.1","e2",3.03844907111971,"C, BD","e3_lowest_med_VT"
"Zdip-JSG-RMM-LCL-551_P3_P1_P3.1.1.1","e3",2.57065966483038,"C, BD","e3_lowest_med_VT"
"Zdip-JSG-RMM-LCL-551_P3_P5_P3.1.1.1","e1",3.19476674083692,"C, BD","e3_lowest_med_VT"
"Zdip-JSG-RMM-LCL-551_P3_P5_P3.1.1.1","e2",3.28025498914144,"C, BD","e3_lowest_med_VT"
"Zdip-JSG-RMM-LCL-551_P3_P5_P3.1.1.1","e3",2.90849263737732,"C, BD","e3_lowest_med_VT"
"Zdip-CIM10003_P3_P1_P1.1.1.1","e1",2.60472369512183,"C, BD","e3_highest_med_VT"
"Zdip-CIM10003_P3_P1_P1.1.1.1","e2",2.65510720022872,"C, BD","e3_highest_med_VT"
"Zdip-CIM10003_P3_P1_P1.1.1.1","e3",3.66731836733632,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-719_P2_P2_P2.5.1.1","e1",2.59017150288403,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-719_P2_P2_P2.5.1.1","e2",2.90425460426028,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-719_P2_P2_P2.5.1.1","e3",3.66359662851063,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-719_P2_P5_P3.1.1.1","e1",2.37730335674257,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-719_P2_P5_P3.1.1.1","e2",2.64201746900081,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-719_P2_P5_P3.1.1.1","e3",3.53580266971635,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-720_P1_P3_P1.1.1.1","e1",2.68466303513637,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-720_P1_P3_P1.1.1.1","e2",2.72896953684204,"C, BD","e3_highest_med_VT"
"Zdip-JLVTKV-720_P1_P3_P1.1.1.1","e3",3.40497552878303,"C, BD","e3_highest_med_VT"
"Zdip-JSG-RMM-LCL-551_P3_P5_P2.1.1.1","e1",1.52869016213565,"C, BD","e3_highest_med_VT"
"Zdip-JSG-RMM-LCL-551_P3_P5_P2.1.1.1","e2",1.88064553418826,"C, BD","e3_highest_med_VT"
"Zdip-JSG-RMM-LCL-551_P3_P5_P2.1.1.1","e3",3.78017202299552,"C, BD","e3_highest_med_VT"
